172.71.127.26 - - [10/Jan/2025:13:18:28 +0000] "GET /font/cakedingbats-webfont.woff2 HTTP/1.1" 200 35456 "https://cake.furosha.com/css/home.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.25 - - [10/Jan/2025:13:18:28 +0000] "GET /font/raleway-400-latin.woff2 HTTP/1.1" 200 41852 "https://cake.furosha.com/css/fonts.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.25 - - [10/Jan/2025:13:18:29 +0000] "GET /debug-kit/toolbar/0976ec42-9c64-4329-9285-9de5c14d1d5e HTTP/1.1" 200 6061 "https://cake.furosha.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.25 - - [10/Jan/2025:13:18:29 +0000] "GET /debug_kit/img/cake.icon.png HTTP/1.1" 200 1461 "https://cake.furosha.com/debug-kit/toolbar/0976ec42-9c64-4329-9285-9de5c14d1d5e" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.26 - - [10/Jan/2025:13:18:29 +0000] "GET /debug_kit/js/main.js HTTP/1.1" 200 834 "https://cake.furosha.com/debug-kit/toolbar/0976ec42-9c64-4329-9285-9de5c14d1d5e" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.25 - - [10/Jan/2025:13:18:29 +0000] "GET /debug_kit/css/style.css HTTP/1.1" 200 13092 "https://cake.furosha.com/debug-kit/toolbar/0976ec42-9c64-4329-9285-9de5c14d1d5e" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.25 - - [10/Jan/2025:13:18:29 +0000] "GET /debug_kit/js/jquery.js HTTP/1.1" 200 89600 "https://cake.furosha.com/debug-kit/toolbar/0976ec42-9c64-4329-9285-9de5c14d1d5e" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.26 - - [10/Jan/2025:13:18:29 +0000] "GET /debug_kit/css/reset.css HTTP/1.1" 200 1143 "https://cake.furosha.com/debug-kit/toolbar/0976ec42-9c64-4329-9285-9de5c14d1d5e" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.26 - - [10/Jan/2025:13:18:29 +0000] "GET /debug_kit/js/modules/Panels/CachePanel.js HTTP/1.1" 200 973 "https://cake.furosha.com/debug_kit/js/main.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.25 - - [10/Jan/2025:13:18:29 +0000] "GET /debug_kit/js/modules/Panels/RoutesPanel.js HTTP/1.1" 200 717 "https://cake.furosha.com/debug_kit/js/main.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.25 - - [10/Jan/2025:13:18:29 +0000] "GET /debug_kit/js/modules/Start.js HTTP/1.1" 200 822 "https://cake.furosha.com/debug_kit/js/main.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.25 - - [10/Jan/2025:13:18:29 +0000] "GET /debug_kit/js/modules/Panels/PackagesPanel.js HTTP/1.1" 200 2065 "https://cake.furosha.com/debug_kit/js/main.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.25 - - [10/Jan/2025:13:18:29 +0000] "GET /debug_kit/js/modules/Keyboard.js HTTP/1.1" 200 1352 "https://cake.furosha.com/debug_kit/js/main.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
